product_code,sku_code,merchant_code
EZ.04.076,sku11616052655862,AMZ.TH
EZ.04.076,sku11616052655862,LZC.TH
EZ.04.076,sku11616052655862,EZT.TH
EZ.04.076,sku21616052655867,MTH.15
EZ.04.076,sku21616052655867,MTH.13
EZ.04.076,sku21616052655867,CPO.TH
EZ.04.076,sku21616052655867,AMZ.TH
EZ.04.076,sku21616052655867,LZC.TH
EZ.04.076,sku21616052655867,EZT.TH
EZ.04.076,sku31616052655878,MTH.15
EZ.04.076,sku31616052655878,MTH.13
EZ.04.076,sku31616052655878,CPO.TH
EZ.04.076,sku31616052655878,AMZ.TH
EZ.04.076,sku31616052655878,LZC.TH
EZ.04.076,sku31616052655878,EZT.TH
EZ.04.077,sku01616062575529,ARN.TH
EZ.04.077,sku11616062575533,ARN.TH
EZ.04.077,sku21616062575540,ARN.TH
EZ.04.077,sku31616062575544,ARN.TH
EZ.04.077,sku41616062575548,ARN.TH
EZ.04.078,sku01616064077161,ARN.TH
EZ.04.078,sku11616064077165,ARN.TH
EZ.04.078,sku21616064077169,ARN.TH
EZ.04.105,sku01616120811797,LZC.PH
EZ.04.105,sku01616120811797,HZT.PH
EZ.04.105,sku01616120811797,CPO.PH
EZ.04.105,sku01616120811797,AMZ.PH
EZ.04.079,sku01616209042993,LZC.TH
EZ.04.079,sku01616209042993,EZT.TH
EZ.04.079,sku11616209042997,LZC.TH
EZ.04.079,sku11616209042997,EZT.TH
EZ.04.080,sku01616223660063,ARN.TH
VL.04.003.TH,sku01616470106752,EZT.TH
VL.04.003.TH,sku11616470106767,EZT.TH
VL.04.003.TH,sku21616470106774,EZT.TH
VL.04.003.TH,sku31616470106781,EZT.TH
PH05005,sku01616641452492,AMZ.PH
EZ.04.085,sku01617004787148,LZC.TH
EZ.04.085,sku01617004787148,EZT.TH
EZ.04.085,sku11617004885172,LZC.TH
EZ.04.085,sku11617004885172,EZT.TH
EZ.04.085,sku21617004885176,LZC.TH
EZ.04.085,sku21617004885176,EZT.TH
EZ.04.085,sku31617004885182,LZC.TH
EZ.04.085,sku31617004885182,EZT.TH
EZ.04.085,sku41617004885185,LZC.TH
EZ.04.085,sku41617004885185,EZT.TH
PH02011,sku01617009596754,MPH.21
PH02011,sku01617009596754,ARN06
PH02011,sku01617009596754,ARN-TWB.PH
PH02011,sku01617009596754,ARN-BG.PH
PH02011,sku01617009596754,ARN-BD.PH
PH02011,sku01617009596754,WAR.PH
PH02011,sku01617009596754,BLW.PH
PH02011,sku01617009596754,LZC.PH
PH02011,sku01617009596754,CPO.PH
PH02011,sku01617009596754,AMZ.PH
PH02011,sku01617009596754,ARN.PH
PH02011,sku11617009596759,MPH.21
PH02011,sku11617009596759,ARN06
PH02011,sku11617009596759,ARN-TWB.PH
PH02011,sku11617009596759,ARN-BG.PH
PH02011,sku11617009596759,ARN-BD.PH
PH02011,sku11617009596759,WAR.PH
PH02011,sku11617009596759,BLW.PH
PH02011,sku11617009596759,LZC.PH
PH02011,sku11617009596759,CPO.PH
PH02011,sku11617009596759,AMZ.PH
PH02011,sku11617009596759,ARN.PH
EZ.04.108,sku01617088510882,BLW.PH
EZ.04.108,sku01617088510882,CPO.PH
EZ.04.108,sku01617088510882,LZC.PH
PH09009,sku01617264987881,ARN.PH
PH09009,sku01617264987881,ARN06
PH09009,sku01617264987881,ARN-TWB.PH
PH09009,sku01617264987881,ARN-BG.PH
PH09009,sku01617264987881,ARN-BD.PH
PH09009,sku01617264987881,ARN-AG.PH
EZ.04.015,sku41617329415902,IPT.PH
EZ.04.015,sku41617329415902,LZC.PH
EZ.04.015,sku41617329415902,CPO.PH
EZ.04.015,sku41617329415902,AMZ.PH
EZ.04.015,sku41617329415902,WAR.PH
EZ.04.015,sku41617329415902,ARN.PH
EZ.04.015,sku41617329415902,BLW.PH
EZ.04.111,sku01617334577002,LZC.PH
EZ.04.111,sku11617334577007,LZC.PH
EZ.04.088,sku01617349009388,AMZ.TH
EZ.04.088,sku01617349009388,CPO.TH
EZ.04.088,sku01617349009388,DPN.TH
EZ.04.089,sku01617355555763,EZT.TH
ID05001,sku01617576505823,MID.02
ID05001,sku01617576505823,MID.01
ID05001,sku01617576505823,MID.08
ID05001,sku01617576505823,MID.04
ID05001,sku01617576505823,WAR.ID
ID05001,sku01617576505823,CPO.ID
ID05001,sku01617576505823,AMZ.ID
ID05001,sku11617576505837,MID.02
ID05001,sku11617576505837,MID.01
ID05001,sku11617576505837,MID.08
ID05001,sku11617576505837,MID.04
ID05001,sku11617576505837,WAR.ID
ID05001,sku11617576505837,CPO.ID
ID05001,sku11617576505837,AMZ.ID
PH05004,sku01617681197620,WAR.PH
EZ.04.093,sku01617766443024,MPH.07
EZ.04.093,sku01617766443024,MPH.06
EZ.04.105.TH,sku01617871561059,MTH.13
EZ.04.105.TH,sku01617871561059,MTH.15
EZ.04.105.TH,sku01617871561059,CPO.TH
EZ.04.105.TH,sku01617871561059,LZC.TH
EZ.04.105.TH,sku01617871561059,EZT.TH
PH05010,sku01617959599409,CPO.PH
PH05010,sku01617959599409,BLW.PH
PH05010,sku01617959599409,AMZ.PH
PH03014,sku01618194721478,HZT.PH
PH03014,sku11618194721487,HZT.PH
EZ.04.095,sku01618313031462,DPN.TH
ID03005,sku01618454651793,CPO.ID
ID03005,sku01618454651793,IPT.ID
PH05003,sku01618455059248,LZC.PH
PH05003,sku01618455059248,CPO.PH
EZ.04.097,sku01618462399879,LZC.TH
ID05006,sku01618634871821,IPT.ID
EZ.04.099,sku01618635900306,DPN.TH
ID02008,sku01618636250960,AMZ.ID
ID02008,sku11618636250975,AMZ.ID
ID02008,sku21618636250988,AMZ.ID
EZ.04.109,sku01618736944765,ARN.TH
EZ.04.110,sku01618737774346,LZC.TH
EZ.04.105,sku11618743346336,LZC.PH
EZ.04.105,sku11618743346336,HZT.PH
EZ.04.105,sku11618743346336,CPO.PH
EZ.04.105,sku11618743346336,AMZ.PH
PH09012,sku01618803600474,WAR.PH
EZ.04.096.TH,sku01619149492471,LZC.TH
PH09006,sku01619361129939,WARLG.PH
PH09006,sku01619361129939,WARVK.PH
PH09006,sku01619361129939,WARTT.PH
PH09006,sku01619361129939,WAR.PH
TH05001,sku01619403631312,DPN.TH
PH06001,sku01619409320873,1M.PH
PH06001,sku01619409320873,LZC.PH
PH06001,sku01619409320873,CPO.PH
PH06001,sku01619409320873,AMZ.PH
PH06001,sku01619409320873,BLW.PH
ID06002,sku01619512358202,MID.04
ID06002,sku01619512358202,MID.02
ID06002,sku01619512358202,MID.01
ID06002,sku01619512358202,WAR.ID
ID06002,sku01619512358202,CPO.ID
ID09003,sku01619512795060,CPO.ID
ID09004,sku01619513226866,CPO.ID
EZ.04.109,sku11619583430473,ARN.TH
EZ.04.109,sku21619583430489,ARN.TH
EZ.04.109,sku31619583430497,ARN.TH
TH06002,sku01619965372753,DPN.TH
TH05003,sku01619965596034,MTH.15
TH05003,sku01619965596034,MTH.13
TH05003,sku01619965596034,CPO.TH
TH05003,sku01619965596034,DPN.TH
PH05013,sku01619973225767,CPO.PH
PH05013,sku01619973225767,WAR.PH
EZ.04.109,sku41620099429793,ARN.TH
EZ.04.109,sku51620099429796,ARN.TH
EZ.04.109,sku61620099429798,ARN.TH
EZ.04.109,sku71620099429801,ARN.TH
EZ.04.109,sku81620099429803,ARN.TH
EZ.04.109,sku91620099429805,ARN.TH
EZ.04.109,sku101620099429807,ARN.TH
EZ.04.109,sku111620099429808,ARN.TH
EZ.04.109,sku121620099429810,ARN.TH
EZ.04.109,sku131620099429812,ARN.TH
EZ.04.109,sku141620099429814,ARN.TH
EZ.04.109,sku151620099429816,ARN.TH
EZ.04.109,sku161620099429818,ARN.TH
EZ.04.109,sku171620099429820,ARN.TH
EZ.04.109,sku181620099429822,ARN.TH
PH05020,sku01620186052636,MPH.26
PH05020,sku01620186052636,BLW.PH
ID09009,sku01620187966933,CPO.ID
ID09011,sku01620199329110,MID.04
ID09011,sku01620199329110,MID.08
ID09011,sku01620199329110,MID.02
ID09011,sku01620199329110,MID.01
ID09011,sku01620199329110,CPO.ID
ID09011,sku01620199329110,AMZ.ID
ID09011,sku01620199329110,WAR.ID
TH05004,sku01620268894394,LZC.TH
PH05018,sku01620298412637,MPH.12
PH05018,sku01620298412637,MPH.11
PH05018,sku01620298412637,MPH.10
PH05017,sku01620376360999,WAR.PH
ID03010,sku01620384077590,AMZ.ID
PH05019,sku01620700386966,CPO.PH
PH05019,sku01620700386966,BLW.PH
PH06024,sku01620789900462,AMZ.PH
TEZ.04.291,sku01620790172561,AMZ.ID
PH09006,sku11620875364318,WARLG.PH
PH09006,sku11620875364318,WARVK.PH
PH09006,sku11620875364318,WARTT.PH
PH09006,sku11620875364318,WAR.PH
TH05005,sku01620880544829,LZC.TH
TH05006,sku01620963706673,LZC.TH
PH09015,sku01621043422562,MPH.11
PH09015,sku01621043422562,MPH.12
PH09015,sku01621043422562,MPH.10
PH05078,sku01621047398501,MPH.06
PH05078,sku11621047398515,MPH.06
PH05078,sku21621047398526,MPH.06
PH05078,sku31621047398538,MPH.06
PH05078,sku41621047398567,MPH.06
PH05078,sku51621047398590,MPH.06
TH03007,sku01621055454202,BWL.TH
TH03007,sku11621055542835,BWL.TH
TH03007,sku21621055542854,BWL.TH
